Model,Ratings_Reviews,ROM,Display,Camera,Processor
"APPLE iPhone SE (White, 64 GB)","4.51,54,746 Ratings & 12,073 Reviews",64 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor
"APPLE iPhone 14 (Yellow, 128 GB)","4.62,46,408 Ratings & 9,466 Reviews",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor"
"APPLE iPhone 13 ((PRODUCT)RED, 256 GB)","4.72,74,517 Ratings & 13,375 Reviews",256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"APPLE iPhone 14 (Yellow, 512 GB)","4.62,46,408 Ratings & 9,466 Reviews",512 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor"
"APPLE iPhone 12 (Green, 256 GB)","4.62,05,338 Ratings & 13,637 Reviews",256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
"APPLE iPhone 13 (Pink, 512 GB)","4.72,74,517 Ratings & 13,375 Reviews",512 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"APPLE iPhone 14 Pro (Silver, 512 GB)","4.62,100 Ratings & 149 Reviews",512 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor"
"APPLE iPhone 11 Pro (Gold, 512 GB)","4.68,695 Ratings & 629 Reviews",512 GB ROM,14.73 cm (5.8 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"APPLE iPhone SE 3rd Gen (Product (Red), 64 GB)","4.41,298 Ratings & 131 Reviews",64 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor"
"APPLE iPhone 13 Pro Max (Gold, 512 GB)","4.62,047 Ratings & 199 Reviews",512 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"APPLE iPhone 14 Pro (Silver, 1 TB)","4.62,100 Ratings & 149 Reviews",1 TB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor"
"APPLE iPhone SE 3rd Gen (Midnight, 64 GB)","4.41,298 Ratings & 131 Reviews",64 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor"
"APPLE iPhone 13 Pro (Silver, 512 GB)","4.71,581 Ratings & 126 Reviews",512 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"APPLE iPhone 14 Pro (Space Black, 1 TB)","4.62,100 Ratings & 149 Reviews",1 TB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor"
"APPLE iPhone 14 Pro (Space Black, 1 TB)","4.62,100 Ratings & 149 Reviews",1 TB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor"
"APPLE iPhone 13 Pro Max (Gold, 1 TB)","4.62,047 Ratings & 199 Reviews",1 TB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"APPLE iPhone 13 mini (Midnight, 512 GB)","4.53,751 Ratings & 328 Reviews",512 GB ROM,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"APPLE iPhone 14 Pro (Gold, 256 GB)","4.62,100 Ratings & 149 Reviews",256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor"
"APPLE iPhone 13 Pro Max (Sierra Blue, 512 GB)","4.62,047 Ratings & 199 Reviews",512 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"APPLE iPhone 13 mini (Green, 512 GB)","4.53,751 Ratings & 328 Reviews",512 GB ROM,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
